;
; ###########################################################################################################
; # CODE SUIVANT EST CHARGE pour le LEVEL 4 $7700=>$96FF (deux tracks A&B directement depuis la disquette) !
; ###########################################################################################################
;7700:4C 36 77    JMP $7736
83FA:F0 EE       BEQ $83EA
83FC:9D 80 80    STA $8080,X
83FF:CC BB 87    CPY $87BB
8402:80                   ???
8403:80                   ???
8404:CC BB 87    CPY $87BB
8407:80                   ???
8408:80                   ???
8409:BC D7 B3    LDY $B3D7,X
840C:80                   ???
840D:80                   ???
840E:BC FE B3    LDY $B3FE,X
8411:80                   ???
8412:80                   ???
8413:EC FE 9B    CPX $9BFE
8416:80                   ???
8417:80                   ???
8418:CC FD 8D    CPY $8DFD
841B:80                   ???
841C:80                   ???
841D:8C FF 87    STY $87FF
8420:80                   ???
8421:80                   ???
8422:8C FE 83    STY $83FE
8425:80                   ???
8426:80                   ???
8427:8C F8 80    STY $80F8
842A:80                   ???
842B:80                   ???
842C:8C FE 83    STY $83FE
842F:80                   ???
8430:80                   ???
8431:EC CF 9F    CPX $9FCF
8434:80                   ???
8435:80                   ???
8436:EC FF 9F    CPX $9FFF
8439:80                   ???
843A:80                   ???
843B:EC F8 98    CPX $98F8
843E:80                   ???
843F:80                   ???
8440:EC FB 9E    CPX $9EFB
8443:80                   ???
8444:80                   ???
8445:8C FF 87    STY $87FF
8448:80                   ???
8449:80                   ???
844A:8C FC 81    STY $81FC
844D:80                   ???
844E:80                   ???
844F:8C 80 80    STY $8080
8452:80                   ???
8453:80                   ???
8454:8C 80 80    STY $8080
8457:80                   ???
8458:80                   ???
8459:8C 80 80    STY $8080
845C:80                   ???
845D:80                   ???
845E:8C 80 80    STY $8080
8461:80                   ???
8462:80                   ???
8463:8C 80 80    STY $8080
8466:80                   ???
8467:80                   ???
8468:BC 80 80    LDY $8080,X
846B:80                   ???
846C:80                   ???
846D:9C                   ???
846E:80                   ???
846F:80                   ???
8470:80                   ???
8471:80                   ???
8472:8C 80 80    STY $8080
8475:80                   ???
8476:80                   ???
8477:80                   ???
8478:9E                   ???
8479:BC 80 80    LDY $8080,X
847C:80                   ???
847D:BE BE 80    LDX $80BE,Y
8480:80                   ???
8481:80                   ???
8482:B0 86       BCS $840A
8484:80                   ???
8485:80                   ???
8486:80                   ???
8487:B0 86       BCS $840F
8489:80                   ???
848A:80                   ???
848B:80                   ???
848C:B0 86       BCS $8414
848E:80                   ???
848F:80                   ???
8490:C0 BB       CPY #$BB
8492:F7                   ???
8493:80                   ???
8494:80                   ???
8495:80                   ???
8496:EE 9D 80    INC $809D
8499:80                   ???
849A:C0 BB       CPY #$BB
849C:F7                   ???
849D:80                   ???
849E:80                   ???
849F:B0 EE       BCS $848F
84A1:9D 80 80    STA $8080,X
84A4:B0 EE       BCS $8494
84A6:9D 80 80    STA $8080,X
84A9:F0 DD       BEQ $8488
84AB:CE 81 80    DEC $8081
84AE:F0 F9       BEQ $84A9
84B0:CF                   ???
84B1:81 80       STA ($80,X)
84B3:B0 FB       BCS $84B0
84B5:EF                   ???
84B6:80                   ???
84B7:80                   ???
84B8:B0 F6       BCS $84B0
84BA:B7                   ???
84BB:80                   ???
84BC:80                   ???
84BD:B0 FE       BCS $84BD
84BF:9F                   ???
84C0:80                   ???
84C1:80                   ???
84C2:B0 F8       BCS $84BC
84C4:8F                   ???
84C5:80                   ???
84C6:80                   ???
84C7:B0 E0       BCS $84A9
84C9:83                   ???
84CA:80                   ???
84CB:80                   ???
84CC:B0 F8       BCS $84C6
84CE:8F                   ???
84CF:80                   ???
84D0:80                   ???
84D1:B0 BF       BCS $8492
84D3:FE 80 80    INC $8080,X
84D6:B0 FF       BCS $84D7
84D8:FF                   ???
84D9:80                   ???
84DA:80                   ???
84DB:B0 E3       BCS $84C0
84DD:E3                   ???
84DE:80                   ???
84DF:80                   ???
84E0:B0 EF       BCS $84D1
84E2:FB                   ???
84E3:80                   ???
84E4:80                   ???
84E5:B0 FC       BCS $84E3
84E7:9F                   ???
84E8:80                   ???
84E9:80                   ???
84EA:B0 F0       BCS $84DC
84EC:87                   ???
84ED:80                   ???
84EE:80                   ???
84EF:B0 80       BCS $8471
84F1:80                   ???
84F2:80                   ???
84F3:80                   ???
84F4:B0 80       BCS $8476
84F6:80                   ???
84F7:80                   ???
84F8:80                   ???
84F9:B0 80       BCS $847B
84FB:80                   ???
84FC:80                   ???
84FD:80                   ???
84FE:B0 80       BCS $8480
8500:80                   ???
8501:80                   ???
8502:80                   ???
8503:B0 80       BCS $8485
8505:80                   ???
8506:80                   ???
8507:80                   ???
8508:F0 81       BEQ $848B
850A:80                   ???
850B:80                   ???
850C:80                   ???
850D:F0 80       BEQ $848F
850F:80                   ???
8510:80                   ???
8511:80                   ???
8512:B0 80       BCS $8494
8514:80                   ???
8515:80                   ???
8516:80                   ???
8517:80                   ???
8518:F8          SED
8519:80                   ???
851A:80                   ???
851B:80                   ???
851C:80                   ???
851D:F8          SED
851E:81 80       STA ($80,X)
8520:80                   ???
8521:80                   ???
8522:C0 F1       CPY #$F1
8524:81 80       STA ($80,X)
8526:80                   ???
8527:C0 F9       CPY #$F9
8529:81 80       STA ($80,X)
852B:80                   ???
852C:C0 99       CPY #$99
852E:80                   ???
852F:80                   ???
8530:80                   ???
8531:EE DD 83    INC $83DD
8534:80                   ???
8535:80                   ???
8536:B8          CLV
8537:F7                   ???
8538:80                   ???
8539:80                   ???
853A:80                   ???
853B:EE DD 83    INC $83DD
853E:80                   ???
853F:C0 B9       CPY #$B9
8541:F7                   ???
8542:80                   ???
8543:80                   ???
8544:C0 B9       CPY #$B9
8546:F7                   ???
8547:80                   ???
8548:80                   ???
8549:C0 F7       CPY #$F7
854B:BA          TSX
854C:80                   ???
854D:80                   ???
854E:C0 E7       CPY #$E7
8550:BF                   ???
8551:80                   ???
8552:80                   ???
8553:C0 CD       CPY #$CD
8555:BF                   ???
8556:80                   ???
8557:80                   ???
8558:C0 D9       CPY #$D9
855A:FF                   ???
855B:87                   ???
855C:80                   ???
855D:C0 F1       CPY #$F1
855F:FF                   ???
8560:8F                   ???
8561:80                   ???
8562:C0 E1       CPY #$E1
8564:9F                   ???
8565:8C 80 C0    STY $C080
8568:81 9E       STA ($9E,X)
856A:8C 80 C0    STY $C080
856D:C1 FF       CMP ($FF,X)
856F:80                   ???
8570:80                   ???
8571:C0 F9       CPY #$F9
8573:F3                   ???
8574:87                   ???
8575:80                   ???
8576:C0 F9       CPY #$F9
8578:FF                   ???
8579:87                   ???
857A:80                   ???
857B:C0 99       CPY #$99
857D:9E                   ???
857E:86 80       STX $80
8580:C0 F9       CPY #$F9
8582:DE 87 80    DEC $8087,X
8585:C0 E1       CPY #$E1
8587:FF                   ???
8588:81 80       STA ($80,X)
858A:C0 81       CPY #$81
858C:BF                   ???
858D:80                   ???
858E:80                   ???
858F:C0 81       CPY #$81
8591:80                   ???
8592:80                   ???
8593:80                   ???
8594:C0 87       CPY #$87
8596:80                   ???
8597:80                   ???
8598:80                   ???
8599:C0 83       CPY #$83
859B:80                   ???
859C:80                   ???
859D:80                   ???
859E:C0 81       CPY #$81
85A0:80                   ???
85A1:80                   ???
85A2:80                   ???
85A3:80                   ???
85A4:80                   ???
85A5:80                   ???
85A6:80                   ???
85A7:80                   ???
85A8:80                   ???
85A9:80                   ???
85AA:80                   ???
85AB:80                   ???
85AC:80                   ???
85AD:80                   ???
85AE:80                   ???
85AF:80                   ???
85B0:80                   ???
85B1:80                   ???
85B2:80                   ???
85B3:80                   ???
85B4:80                   ???
85B5:80                   ???
85B6:80                   ???
85B7:80                   ???
85B8:80                   ???
85B9:80                   ???
85BA:80                   ???
85BB:80                   ???
;fin des sauvages
;
; 2 Sprites de fille attachée 27lignes*3octets soit 0x51 octets par sprite
85BC:BE 9F 80    LDX $809F,Y
85BF:9C                   ???
85C0:8E 80 B8    STX $B880
85C3:9C                   ???
85C4:80                   ???
85C5:F0 B8       BEQ $857F
85C7:80                   ???
85C8:E0 F1       CPX #$F1
85CA:80                   ???
85CB:F7                   ???
85CC:EE 81 DC    INC $DC81
85CF:BB                   ???
85D0:87                   ???
85D1:F6 EE       INC $EE,X
85D3:81 DC       STA ($DC,X)
85D5:BB                   ???
85D6:87                   ???
85D7:F0 EE       BEQ $85C7
85D9:81 C0       STA ($C0,X)
85DB:BF                   ???
85DC:80                   ???
85DD:F0 EE       BEQ $85CD
85DF:80                   ???
85E0:D0 BB       BNE $859D
85E2:81 F0       STA ($F0,X)
85E4:EE 81 D0    INC $D081
85E7:BB                   ???
85E8:81 F0       STA ($F0,X)
85EA:EE 81 CE    INC $CE81
85ED:BB                   ???
85EE:8E 8E 9F    STX $9F8E
85F1:8E CE BF    STX $BFCE
85F4:8E EE FF    STX $FFEE
85F7:8E EE EE    STX $EEEE
85FA:8E EE FF    STX $FFEE
85FD:86 EC       STX $EC
85FF:DD 83 B8    CMP $B883,X
8602:F7                   ???
8603:80                   ???
8604:00          BRK
8605:0E 00 00    ASL $0000
8608:0E 00 80    ASL $8000
860B:80                   ???
860C:80                   ???
860D:80                   ???
860E:80                   ???
860F:80                   ???
8610:EE 81 80    INC $8081
8613:EE 81 80    INC $8081
8616:B8          CLV
8617:87                   ???
8618:80                   ???
8619:E0 9D       CPX #$9D
861B:80                   ???
861C:80                   ???
861D:F7                   ???
861E:80                   ???
861F:F6 EE       INC $EE,X
8621:81 DC       STA ($DC,X)
8623:BB                   ???
8624:87                   ???
8625:F6 EE       INC $EE,X
8627:81 DC       STA ($DC,X)
8629:BB                   ???
862A:87                   ???
862B:F0 EE       BEQ $861B
862D:81 C0       STA ($C0,X)
862F:BF                   ???
8630:80                   ???
8631:E0 EE       CPX #$EE
8633:80                   ???
8634:D0 BB       BNE $85F1
8636:81 F0       STA ($F0,X)
8638:EE 81 D0    INC $D081
863B:BB                   ???
863C:81 F0       STA ($F0,X)
863E:EE 81 C6    INC $C681
8641:BB                   ???
8642:83                   ???
8643:E6 9F       INC $9F
8645:83                   ???
8646:F2                   ???
8647:BF                   ???
8648:82                   ???
8649:F2                   ???
864A:FF                   ???
864B:82                   ???
864C:F2                   ???
864D:DD 82 F2    CMP $F282,X
8650:FF                   ???
8651:82                   ???
8652:BE F7 83    LDX $83F7,Y
8655:EE DD 83    INC $83DD
8658:00          BRK
8659:0E 00 00    ASL $0000
865C:0E 00 
;fin de la fille attachée
;7 Sprites de Marcheur Sauveur jambes levé 3octets * 24 lignes soit 0x48 par sprite
865E:80
865F:BF                   ???
8660:80                   ???
8661:80                   ???
8662:BF                   ???
8663:80                   ???
8664:80                   ???
8665:B8          CLV
8666:80                   ???
8667:FE 90 80    INC $8090,X
866A:FE 90 80    INC $8090,X
866D:B8          CLV
866E:90 80       BCC $85F0
8670:A0 9F       LDY #$9F
8672:80                   ???
8673:BC BE 80    LDY $80BE,X
8676:FE BF 80    INC $80BF,X
8679:FC                   ???
867A:BF                   ???
867B:80                   ???
867C:F8          SED
867D:BF                   ???
867E:80                   ???
867F:80                   ???
8680:98          TYA
8681:80                   ???
8682:F0 BF       BEQ $8643
8684:80                   ???
8685:FC                   ???
8686:FF                   ???
8687:80                   ???
8688:FC                   ???
8689:FF                   ???
868A:80                   ???
868B:E0 FF       CPX #$FF
868D:80                   ???
868E:E0 FF       CPX #$FF
8690:80                   ???
8691:C0 BF       CPY #$BF
8693:80                   ???
8694:80                   ???
8695:94 80       STY $80,X
8697:80                   ???
8698:95 80       STA $80,X
869A:80                   ???
869B:95 80       STA $80,X
869D:F8          SED
869E:FF                   ???
869F:81 E0       STA ($E0,X)
86A1:B6 80       LDX $80,Y
86A3:C0 9F       CPY #$9F
86A5:80                   ???
86A6:80                   ???
86A7:FC                   ???
86A8:81 80       STA ($80,X)
86AA:FC                   ???
86AB:81 80       STA ($80,X)
86AD:E0 81       CPX #$81
86AF:F8          SED
86B0:C3                   ???
86B1:80                   ???
86B2:F8          SED
86B3:C3                   ???
86B4:80                   ???
86B5:C0 C3       CPY #$C3
86B7:80                   ???
86B8:80                   ???
86B9:FD 80 F0    SBC $F080,X
86BC:F9 81 F8    SBC $F881,Y
86BF:FF                   ???
86C0:81 F0       STA ($F0,X)
86C2:FF                   ???
86C3:81 E0       STA ($E0,X)
86C5:FF                   ???
86C6:81 80       STA ($80,X)
86C8:E0 80       CPX #$80
86CA:C0 FF       CPY #$FF
86CC:81 F0       STA ($F0,X)
86CE:FF                   ???
86CF:83                   ???
86D0:F0 FF       BEQ $86D1
86D2:83                   ???
86D3:80                   ???
86D4:FF                   ???
86D5:83                   ???
86D6:80                   ???
86D7:FF                   ???
86D8:83                   ???
86D9:80                   ???
86DA:FE 81 80    INC $8081,X
86DD:D0 80       BNE $865F
86DF:80                   ???
86E0:D4                   ???
86E1:80                   ???
86E2:80                   ???
86E3:D4                   ???
86E4:80                   ???
86E5:E0 FF       CPX #$FF
86E7:87                   ???
86E8:80                   ???
86E9:DB                   ???
86EA:81 80       STA ($80,X)
86EC:FE 80 80    INC $8080,X
86EF:F0 87       BEQ $8678
86F1:80                   ???
86F2:F0 87       BEQ $867B
86F4:80                   ???
86F5:80                   ???
86F6:87                   ???
86F7:E0 8F       CPX #$8F
86F9:82                   ???
86FA:E0 8F       CPX #$8F
86FC:82                   ???
86FD:80                   ???
86FE:8E 82 80    STX $8082
8701:F4                   ???
8702:83                   ???
8703:C0 E7       CPY #$E7
8705:87                   ???
8706:E0 FF       CPX #$FF
8708:87                   ???
8709:C0 FF       CPY #$FF
870B:87                   ???
870C:80                   ???
870D:FF                   ???
870E:87                   ???
870F:80                   ???
8710:80                   ???
8711:83                   ???
8712:80                   ???
8713:FE 87 C0    INC $C087,X
8716:FF                   ???
8717:8F                   ???
8718:C0 FF       CPY #$FF
871A:8F                   ???
871B:80                   ???
871C:FC                   ???
871D:8F                   ???
871E:80                   ???
871F:FC                   ???
8720:8F                   ???
8721:80                   ???
8722:F8          SED
8723:87                   ???
8724:80                   ???
8725:C0 82       CPY #$82
8727:80                   ???
8728:D0 82       BNE $86AC
872A:80                   ???
872B:D0 82       BNE $86AF
872D:80                   ???
872E:FF                   ???
872F:9F                   ???
8730:80                   ???
8731:EC 86 80    CPX $8086
8734:F8          SED
8735:83                   ???
8736:80                   ???
8737:C0 9F       CPY #$9F
8739:80                   ???
873A:C0 9F       CPY #$9F
873C:80                   ???
873D:80                   ???
873E:9C                   ???
873F:80                   ???
8740:BF                   ???
8741:88          DEY
8742:80                   ???
8743:BF                   ???
8744:88          DEY
8745:80                   ???
8746:B8          CLV
8747:88          DEY
8748:80                   ???
8749:D0 8F       BNE $86DA
874B:80                   ???
874C:9E                   ???
874D:9F                   ???
874E:80                   ???
874F:FF                   ???
8750:9F                   ???
8751:80                   ???
8752:FE 9F 80    INC $809F,X
8755:FC                   ???
8756:9F                   ???
8757:80                   ???
8758:80                   ???
8759:8C 80 F8    STY $F880
875C:9F                   ???
875D:80                   ???
875E:FE BF 80    INC $80BF,X
8761:FE BF 80    INC $80BF,X
8764:F0 BF       BEQ $8725
8766:80                   ???
8767:F0 BF       BEQ $8728
8769:80                   ???
876A:E0 9F       CPX #$9F
876C:80                   ???
876D:80                   ???
876E:8A          TXA
876F:80                   ???
8770:C0 8A       CPY #$8A
8772:80                   ???
8773:C0 8A       CPY #$8A
8775:80                   ???
8776:FC                   ???
8777:FF                   ???
8778:80                   ???
8779:B0 9B       BCS $8716
877B:80                   ???
877C:E0 8F       CPX #$8F
877E:80                   ???
877F:FE 80 80    INC $8080,X
8782:FE 80 80    INC $8080,X
8785:F0 80       BEQ $8707
8787:FC                   ???
8788:A1 80       LDA ($80,X)
878A:FC                   ???
878B:A1 80       LDA ($80,X)
878D:E0 A1       CPX #$A1
878F:80                   ???
8790:C0 BE       CPY #$BE
8792:80                   ???
8793:F8          SED
8794:FC                   ???
8795:80                   ???
8796:FC                   ???
8797:FF                   ???
8798:80                   ???
8799:F8          SED
879A:FF                   ???
879B:80                   ???
879C:F0 FF       BEQ $879D
879E:80                   ???
879F:80                   ???
87A0:B0 80       BCS $8722
87A2:E0 FF       CPX #$FF
87A4:80                   ???
87A5:F8          SED
87A6:FF                   ???
87A7:81 F8       STA ($F8,X)
87A9:FF                   ???
87AA:81 C0       STA ($C0,X)
87AC:FF                   ???
87AD:81 C0       STA ($C0,X)
87AF:FF                   ???
87B0:81 80       STA ($80,X)
87B2:FF                   ???
87B3:80                   ???
87B4:80                   ???
87B5:A8          TAY
87B6:80                   ???
87B7:80                   ???
87B8:AA          TAX
87B9:80                   ???
87BA:80                   ???
87BB:AA          TAX
87BC:80                   ???
87BD:F0 FF       BEQ $87BE
87BF:83                   ???
87C0:C0 ED       CPY #$ED
87C2:80                   ???
87C3:80                   ???
87C4:BF                   ???
87C5:80                   ???
87C6:80                   ???
87C7:F8          SED
87C8:83                   ???
87C9:80                   ???
87CA:F8          SED
87CB:83                   ???
87CC:80                   ???
87CD:C0 83       CPY #$83
87CF:F0 87       BEQ $8758
87D1:81 F0       STA ($F0,X)
87D3:87                   ???
87D4:81 80       STA ($80,X)
87D6:87                   ???
87D7:81 80       STA ($80,X)
87D9:FA                   ???
87DA:81 E0       STA ($E0,X)
87DC:F3                   ???
87DD:83                   ???
87DE:F0 FF       BEQ $87DF
87E0:83                   ???
87E1:E0 FF       CPX #$FF
87E3:83                   ???
87E4:C0 FF       CPY #$FF
87E6:83                   ???
87E7:80                   ???
87E8:C0 81       CPY #$81
87EA:80                   ???
87EB:FF                   ???
87EC:83                   ???
87ED:E0 FF       CPX #$FF
87EF:87                   ???
87F0:E0 FF       CPX #$FF
87F2:87                   ???
87F3:80                   ???
87F4:FE 87 80    INC $8087,X
87F7:FE 87 80    INC $8087,X
87FA:FC                   ???
87FB:83                   ???
87FC:80                   ???
87FD:A0 81       LDY #$81
87FF:80                   ???
8800:A8          TAY
8801:81 80       STA ($80,X)
8803:A8          TAY
8804:81 C0       STA ($C0,X)
8806:FF                   ???
8807:8F                   ???
8808:80                   ???
8809:B6 83       LDX $83,Y
880B:80                   ???
880C:FC                   ???
880D:81
880E:80
880F:E0 8F       CPX #$8F
8811:80                   ???
8812:E0 8F       CPX #$8F
8814:80                   ???
8815:80                   ???
8816:8E C0 9F    STX $9FC0
8819:84 C0       STY $C0
881B:9F                   ???
881C:84 80       STY $80
881E:9C                   ???
881F:84 80       STY $80
8821:E8          INX
8822:87                   ???
8823:80                   ???
8824:CF                   ???
8825:8F                   ???
8826:C0 FF       CPY #$FF
8828:8F                   ???
8829:80                   ???
882A:FF                   ???
882B:8F                   ???
882C:80                   ???
882D:FE 8F 80    INC $808F,X
8830:80                   ???
8831:86 80       STX $80
8833:FC                   ???
8834:8F                   ???
8835:80                   ???
8836:FF                   ???
8837:9F                   ???
8838:80                   ???
8839:FF                   ???
883A:9F                   ???
883B:80                   ???
883C:F8          SED
883D:9F                   ???
883E:80                   ???
883F:F8          SED
8840:9F                   ???
8841:80                   ???
8842:F0 8F       BEQ $87D3
8844:80                   ???
8845:80                   ???
8846:85 80       STA $80
8848:A0 85       LDY #$85
884A:80                   ???
884B:A0 85       LDY #$85
884D:80                   ???
884E:FE BF 80    INC $80BF,X
8851:D8          CLD
8852:8D 80 F0    STA $F080
8855:87                   ???
; fin de sprite du marcheur jambe levé il manque un octet à la dernière ligne...
;
; =========> Sprites aventurier en marche jambe basse (1)
8856:F8          SED
8857:83                   ???
8858:80                   ???
8859:80                   ???
885A:F8          SED
885B:83                   ???
885C:80                   ???
885D:80                   ???
885E:C0 BF       CPY #$BF
8860:80                   ???
8861:80                   ???
8862:C0 BF       CPY #$BF
8864:80                   ???
8865:80                   ???
8866:80                   ???
8867:B9 80 80    LDA $8080,Y
886A:80                   ???
886B:91 80       STA ($80),Y
886D:80                   ???
886E:E0 9F       CPX #$9F
8870:80                   ???
8871:80                   ???
8872:F0 BF       BEQ $8833
8874:80                   ???
8875:80                   ???
8876:F0 BF       BEQ $8837
8878:80                   ???
8879:80                   ???
887A:F0 BF       BEQ $883B
887C:80                   ???
887D:80                   ???
887E:E0 BF       CPX #$BF
8880:80                   ???
8881:80                   ???
8882:80                   ???
8883:FC                   ???
8884:83                   ???
8885:80                   ???
8886:F0 FF       BEQ $8887
8888:83                   ???
8889:80                   ???
888A:F0 BF       BEQ $884B
888C:83                   ???
888D:80                   ???
888E:E0 BF       CPX #$BF
8890:83                   ???
8891:80                   ???
8892:E0 FF       CPX #$FF
8894:83                   ???
8895:80                   ???
8896:E0 FF       CPX #$FF
8898:81 80       STA ($80,X)
889A:C0 FF       CPY #$FF
889C:80                   ???
889D:80                   ???
889E:80                   ???
889F:94 80       STY $80,X
88A1:80                   ???
88A2:80                   ???
88A3:95 80       STA $80,X
88A5:80                   ???
88A6:80                   ???
88A7:95 80       STA $80,X
88A9:80                   ???
88AA:F8          SED
88AB:FF                   ???
88AC:81 80       STA ($80,X)
88AE:E0 B6       CPX #$B6
88B0:80                   ???
88B1:80                   ???
88B2:C0 9F       CPY #$9F
88B4:80                   ???
88B5:80                   ???
; =========> Sprites aventurier en marche jambe basse (2)
88B6:E0 8F       CPX #$8F
88B8:80                   ???
88B9:80                   ???
88BA:E0 8F       CPX #$8F
88BC:80                   ???
88BD:80                   ???
88BE:80                   ???
88BF:FE 81 80    INC $8081,X
88C2:80                   ???
88C3:FE 81 80    INC $8081,X
88C6:80                   ???
88C7:E4 81       CPX $81
88C9:80                   ???
88CA:80                   ???
88CB:C4 80       CPY $80
88CD:80                   ???
88CE:80                   ???
88CF:FF                   ???
88D0:80                   ???
88D1:80                   ???
88D2:80                   ???
88D3:FF                   ???
88D4:81 80       STA ($80,X)
88D6:C0 FF       CPY #$FF
88D8:81 80       STA ($80,X)
88DA:C0 FF       CPY #$FF
88DC:81 80       STA ($80,X)
88DE:80                   ???
88DF:FF                   ???
88E0:81 80       STA ($80,X)
88E2:80                   ???
88E3:F0 8F       BEQ $8874
88E5:80                   ???
88E6:C0 FF       CPY #$FF
88E8:8F                   ???
88E9:80                   ???
88EA:C0 FF       CPY #$FF
88EC:8D 80 80    STA $8080
88EF:FF                   ???
88F0:8D 80 80    STA $8080
88F3:FF                   ???
88F4:8F                   ???
88F5:80                   ???
88F6:80                   ???
88F7:FF                   ???
88F8:87                   ???
88F9:80                   ???
88FA:80                   ???
88FB:FE 83 80    INC $8083,X
88FE:80                   ???
88FF:D0 80       BNE $8881
8901:80                   ???
8902:80                   ???
8903:D4                   ???
8904:80                   ???
8905:80                   ???
8906:80                   ???
8907:D4                   ???
8908:80                   ???
8909:80                   ???
890A:E0 FF       CPX #$FF
890C:87                   ???
890D:80                   ???
890E:80                   ???
890F:DB                   ???
8910:81 80       STA ($80,X)
8912:80                   ???
8913:FE 80
8915:80
; =========> Sprites aventurier en marche jambe basse (3)
8916:80                   ???
8917:BF                   ???
8918:80                   ???
8919:80                   ???
891A:80                   ???
891B:BF                   ???
891C:80                   ???
891D:80                   ???
891E:80                   ???
891F:F8          SED
8920:87                   ???
8921:80                   ???
8922:80                   ???
8923:F8          SED
8924:87                   ???
8925:80                   ???
8926:80                   ???
8927:90 87       BCC $88B0
8929:80                   ???
892A:80                   ???
892B:90 82       BCC $88AF
892D:80                   ???
892E:80                   ???
892F:FC                   ???
8930:83                   ???
8931:80                   ???
8932:80                   ???
8933:FE 87 80    INC $8087,X
8936:80                   ???
8937:FE 87 80    INC $8087,X
893A:80                   ???
893B:FE 87 80    INC $8087,X
893E:80                   ???
893F:FC                   ???
8940:87                   ???
8941:80                   ???
8942:80                   ???
8943:C0 BF       CPY #$BF
8945:80                   ???
8946:80                   ???
8947:FE BF 80    INC $80BF,X
894A:80                   ???
894B:FE B7 80    INC $80B7,X
894E:80                   ???
894F:FC                   ???
8950:B7                   ???
8951:80                   ???
8952:80                   ???
8953:FC                   ???
8954:BF                   ???
8955:80                   ???
8956:80                   ???
8957:FC                   ???
8958:9F                   ???
8959:80                   ???
895A:80                   ???
895B:F8          SED
895C:8F                   ???
895D:80                   ???
895E:80                   ???
895F:C0 82       CPY #$82
8961:80                   ???
8962:80                   ???
8963:D0 82       BNE $88E7
8965:80                   ???
8966:80                   ???
8967:D0 82       BNE $88EB
8969:80                   ???
896A:80                   ???
896B:FF                   ???
896C:9F                   ???
896D:80                   ???
896E:80                   ???
896F:EC 86 80    CPX $8086
8972:80                   ???
8973:F8          SED
8974:83                   ???
8975:80                   ???
;===================> 4 sprites du marcheur jambe basse (fin $8AF6)
8976:80                   ???
8977:FC                   ???
8978:81 80       STA ($80,X)
897A:80                   ???
897B:FC                   ???
897C:81 80       STA ($80,X)
897E:80                   ???
897F:E0 9F       CPX #$9F
8981:80                   ???
8982:80                   ???
8983:E0 9F       CPX #$9F
8985:80                   ???
8986:80                   ???
8987:C0 9C       CPY #$9C
8989:80                   ???
898A:80                   ???
898B:C0 88       CPY #$88
898D:80                   ???
898E:80                   ???
898F:F0 8F       BEQ $8920
8991:80                   ???
8992:80                   ???
8993:F8          SED
8994:9F                   ???
8995:80                   ???
8996:80                   ???
8997:F8          SED
8998:9F                   ???
8999:80                   ???
899A:80                   ???
899B:F8          SED
899C:9F                   ???
899D:80                   ???
899E:80                   ???
899F:F0 9F       BEQ $8940
89A1:80                   ???
89A2:80                   ???
89A3:80                   ???
89A4:FE 81 80    INC $8081,X
89A7:F8          SED
89A8:FF                   ???
89A9:81 80       STA ($80,X)
89AB:F8          SED
89AC:DF                   ???
89AD:81 80       STA ($80,X)
89AF:F0 DF       BEQ $8990
89B1:81 80       STA ($80,X)
89B3:F0 FF       BEQ $89B4
89B5:81 80       STA ($80,X)
89B7:F0 FF       BEQ $89B8
89B9:80                   ???
89BA:80                   ???
89BB:E0 BF       CPX #$BF
89BD:80                   ???
89BE:80                   ???
89BF:80                   ???
89C0:8A          TXA
89C1:80                   ???
89C2:80                   ???
89C3:C0 8A       CPY #$8A
89C5:80                   ???
89C6:80                   ???
89C7:C0 8A       CPY #$8A
89C9:80                   ???
89CA:80                   ???
89CB:FC                   ???
89CC:FF                   ???
89CD:80                   ???
89CE:80                   ???
89CF:B0 9B       BCS $896C
89D1:80                   ???
89D2:80                   ???
89D3:E0 8F       CPX #$8F
89D5:80                   ???
89D6:F0 8F       BEQ $8967
89D8:80                   ???
89D9:80                   ???
89DA:F0 8F       BEQ $896B
89DC:80                   ???
89DD:80                   ???
89DE:80                   ???
89DF:FF                   ???
89E0:80                   ???
89E1:80                   ???
89E2:80                   ???
89E3:FF                   ???
89E4:80                   ???
89E5:80                   ???
89E6:80                   ???
89E7:F2                   ???
89E8:80                   ???
89E9:80                   ???
89EA:80                   ???
89EB:A2 80       LDX #$80
89ED:80                   ???
89EE:E0 BF       CPX #$BF
89F0:80                   ???
89F1:80                   ???
89F2:E0 FF       CPX #$FF
89F4:80                   ???
89F5:80                   ???
89F6:E0 FF       CPX #$FF
89F8:80                   ???
89F9:80                   ???
89FA:E0 FF       CPX #$FF
89FC:80                   ???
89FD:80                   ???
89FE:C0 FF       CPY #$FF
8A00:80                   ???
8A01:80                   ???
8A02:80                   ???
8A03:F8          SED
8A04:87                   ???
8A05:80                   ???
8A06:E0 FF       CPX #$FF
8A08:87                   ???
8A09:80                   ???
8A0A:E0 FF       CPX #$FF
8A0C:86 80       STX $80
8A0E:C0 FF       CPY #$FF
8A10:86 80       STX $80
8A12:C0 FF       CPY #$FF
8A14:87                   ???
8A15:80                   ???
8A16:C0 FF       CPY #$FF
8A18:83                   ???
8A19:80                   ???
8A1A:80                   ???
8A1B:FF                   ???
8A1C:81 80       STA ($80,X)
8A1E:80                   ???
8A1F:A8          TAY
8A20:80                   ???
8A21:80                   ???
8A22:80                   ???
8A23:AA          TAX
8A24:80                   ???
8A25:80                   ???
8A26:80                   ???
8A27:AA          TAX
8A28:80                   ???
8A29:80                   ???
